T;Cp;S
100;33.526;209.025
200;36.372;233.033
298.15;39.878;248.212
300;39.945;248.459
400;43.493;260.448
500;46.576;270.495
600;49.049;279.214
700;50.961;286.924
800;52.434;293.829
900;53.58;300.073
1000;54.484;305.767
1100;55.204;310.995
1200;55.794;315.824
1300;56.279;320.31
1400;56.689;324.496
1500;57.036;328.419
1600;57.338;332.11
1700;57.601;335.594
1800;57.831;338.893
1900;58.04;342.026
2000;58.229;345.007
2100;58.4;347.853
2200;58.555;350.573
2300;58.702;353.179
2400;58.84;355.68
2500;58.965;358.085
2600;59.086;360.4
2700;59.199;362.632
2800;59.308;364.787
2900;59.413;366.87
3000;59.513;368.886
3100;59.609;370.839
3200;59.706;372.733
3300;59.794;374.572
3400;59.881;376.358
3500;59.969;378.095
3600;60.053;379.786
3700;60.137;381.432
3800;60.216;383.037
3900;60.296;384.602
4000;60.375;386.13
4100;60.45;387.621
4200;60.53;389.079
4300;60.605;390.504
4400;60.676;391.898
4500;60.752;393.263
4600;60.823;394.599
4700;60.894;395.908
4800;60.969;397.19
4900;61.036;398.448
5000;61.107;399.682
5100;61.178;400.893
5200;61.25;402.082
5300;61.317;403.249
5400;61.388;404.396
5500;61.455;405.523
5600;61.522;406.631
5700;61.588;407.72
5800;61.655;408.792
5900;61.727;409.846
6000;61.793;410.884
;;
